38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27,38.27
36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66,36.66
35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21
33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82,33.82
32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58
31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20,31.20
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15
33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85,33.85
32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72,32.72
